itemDate,sectionLink,lastUpdateTime,title,lastUpdateDate,link,tid,lastUpdateDay
1383198100.97,عربي, 02:27 ,"
                        الرباط غاضبة من الجزائر وتستدعي سفيرها", 31 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/59e1be78-5f2d-4588-b2f8-a2f27343decf,1,، الخميس ،
1383198100.97,دولي, 01:14 ,"
                        واشنطن تنفي التجسس على الأمم المتحدة ", 31 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/99acef64-ea3a-417c-b6f4-af7f99773c0a,2,، الخميس ،
1383198100.97,عربي, 23:37 ,"
                        المالكي يلتقي بايدن ونواب أميركيون يهاجمونه", 30 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/f85e1607-bec4-4b0e-a791-fee9d0ae4f3f,3,، الأربعاء ،
1383198100.97,الاقتصاد, 10:32 ,"
                        لندن تطمح لتصبح عاصمة للتمويل الإسلامي", 30 أكتوبر 2013 ,/Home/GetPage/97bf4c0e-b160-4e00-8a8b-af44be2d88ae/b88cc921-bed8-4dbe-b333-acfa9e48464b,4,، الأربعاء ،
1383198100.97,عربي, 22:54 ,"
                        إدانات للتوسع الاستيطاني الجديد في القدس", 30 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/dcc3094b-33f1-4ccb-9225-8b5c03cb5a3e,5,، الأربعاء ،
1383198100.97,عربي, 19:21 ,"
                        قتلى بقصف في صعدة وأبين باليمن ", 30 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/5c5b4bca-2360-4ac0-8402-16cec39f7c71,6,، الأربعاء ،
1383198100.97,أخبار, 06:32 ,"
                        مطالبة الأردن بإبقاء حدوده مفتوحة مع سوريا", 31 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/62e8cdcf-f06b-482f-9c1c-a5cd228e0cfb,7,، الخميس ،
1383198100.97,أخبار, 14:43 ,"
                        ووتش تعدد عيوب قانون التظاهر المصري", 30 أكتوبر 2013 ,/Home/GetPage/c54c246c-3a58-42e6-8ebc-076c30f509ce/a50f9be6-f2cb-4352-87f0-a9a94d4be929,8,، الأربعاء ،
1383198100.97,دولي, 20:17 ,"
                        فوربس: بوتين الشخصية الأقوى عام 2013", 30 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/967ce36f-a761-4f4f-b148-8c210904d4b5,9,، الأربعاء ،
383198100.97,عربي, 02:27 ,"
                        الرباط غاضبة من الجزائر وتستدعي سفيرها", 31 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/59e1be78-5f2d-4588-b2f8-a2f27343decf,10,، الخميس ،
1383198100.97,دولي, 01:14 ,"
                        واشنطن تنفي التجسس على الأمم المتحدة ", 31 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/99acef64-ea3a-417c-b6f4-af7f99773c0a,11,، الخميس ،
1383198100.97,عربي, 23:37 ,"
                        المالكي يلتقي بايدن ونواب أميركيون يهاجمونه", 30 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/f85e1607-bec4-4b0e-a791-fee9d0ae4f3f,12,، الأربعاء ،
1383198100.97,الاقتصاد, 10:32 ,"
                        لندن تطمح لتصبح عاصمة للتمويل الإسلامي", 30 أكتوبر 2013 ,/Home/GetPage/97bf4c0e-b160-4e00-8a8b-af44be2d88ae/b88cc921-bed8-4dbe-b333-acfa9e48464b,13,، الأربعاء ،
1383198100.97,عربي, 22:54 ,"
                        إدانات للتوسع الاستيطاني الجديد في القدس", 30 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/dcc3094b-33f1-4ccb-9225-8b5c03cb5a3e,14,، الأربعاء ،
1383198100.97,عربي, 19:21 ,"
                        قتلى بقصف في صعدة وأبين باليمن ", 30 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/5c5b4bca-2360-4ac0-8402-16cec39f7c71,15,، الأربعاء ،
1383198100.97,أخبار, 06:32 ,"
                        مطالبة الأردن بإبقاء حدوده مفتوحة مع سوريا", 31 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/62e8cdcf-f06b-482f-9c1c-a5cd228e0cfb,16,، الخميس ،
1383198100.97,أخبار, 14:43 ,"
                        ووتش تعدد عيوب قانون التظاهر المصري", 17 أكتوبر 2013 ,/Home/GetPage/c54c246c-3a58-42e6-8ebc-076c30f509ce/a50f9be6-f2cb-4352-87f0-a9a94d4be929,8,، الأربعاء ،
1383198100.97,دولي, 20:17 ,"
                        فوربس: بوتين الشخصية الأقوى عام 2013", 30 أكتوبر 2013 ,/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/967ce36f-a761-4f4f-b148-8c210904d4b5,18,، الأربعاء ،
